id,name,latitude,longitude,depths,install_date,log_interval,upload_interval,latest_time
SN000000,Test Station,34.001,-90.0,20;8;2,0,120,300,65
SN001002,Bragg Farm,34.893691,-86.602592,20;8;2,1698775200,3600,3600,0
SN001004,Foley,30.52366,-87.69798,20;8;2,0,3600,3600,2
SN003030,Cullman,34.18987,-86.79683,20;8;2,0,3600,3600,0
SN001006,Selma,32.40705,-86.8821,20;8;2,0,3600,3600,0
SN002001,GSP1,30.26036,-87.6484,20;8;2,0,3600,3600,2
SN002002,GSP2,30.26829,-87.6399,20;12;8;2,0,3600,3600,89
SN002003,GSP3,30.26588,-87.64564,20;12;8;2,0,3600,3600,2408
SN002004,GSP4,30.27925,-87.60619,20;8;2,0,3600,3600,2
SN003002,Lexington,34.962815,-87.372222,20;8;2,1693591500,300,10800,2
SN003003,Dixon,31.16148891,-86.70400483,20;8;2,1690462800,300,3600,1
SN003004,Grant,34.564751,-86.1601,20;12;8;2,1690920000,3600,3600,0
SN003005,Mexia,31.50117267,-87.38752273,20;8;2,1693530000,3600,3600,0
SN003006,Mobile,30.607823,-88.258531,20;8;2,1693609200,300,3600,1252
SN003008,Eutaw,32.9127222,-87.8951944,20;8;2,1693773600,3600,3600,0
SN003009,Grove Hill,31.704172,-87.782743,20;8;2,0,3600,3600,0
SN003011,Oneonta 1,33.938794,-86.389222,20;8;2,1697146200,3600,3600,0
SN003012,Oneonta 2,33.938889,-86.389444,20;8;2,1697146500,3600,3600,0
SN003013,StarHill,31.939808,-85.614502,20;8;2,0,300,10800,2
SN003015,CoffeeCo,31.377968,-85.913683,20;8;2,0,300,10800,2
SN003016,Geneva SF,31.110632,-86.166658,20;8;2,0,300,10800,2
SN003017,Chatom 911,31.451118,-88.195873,20;8;2,0,3600,3600,0
SN003018,Troy,31.804996,-85.974973,20;8;2,0,300,10800,8
SN003021,Thomaston,32.27087,-87.62751,20;8;2,0,3600,3600,297
SN003026,Athens,34.84591,-86.94014,20;8;2,1701376200,3600,3600,0
SN004001,Baron1,31.5,-90.0,20;8;2,-1,300,10800,-1
